# Time  F_D  F_L p_front p_back
3.7700000000e+00 -2.9516148466e-03 7.0806770180e-03 -1.5734673832e-02 -1.4015000107e-02
3.7775000000e+00 3.3405401496e-03 -7.4104548970e-03 1.6087617388e-02 1.1883910236e-02
3.7850000000e+00 -2.8873765583e-03 6.8880145924e-03 -1.5182508472e-02 -1.3551228885e-02
3.7925000000e+00 3.2838112471e-03 -7.0977859367e-03 1.5499499126e-02 1.1364312323e-02
3.8000000000e+00 -2.8340391389e-03 6.4915149968e-03 -1.4545579578e-02 -1.2964801474e-02
3.8075000000e+00 3.2337556260e-03 -6.6691503700e-03 1.4856826336e-02 1.0789684463e-02
3.8150000000e+00 -2.7826940723e-03 6.0853555962e-03 -1.3878125112e-02 -1.2386266579e-02
3.8225000000e+00 3.1815084724e-03 -6.3178962658e-03 1.4231911698e-02 1.0291213466e-02
3.8300000000e+00 -2.7266061076e-03 5.8012408000e-03 -1.3259590648e-02 -1.1920423073e-02
3.8375000000e+00 3.1234508563e-03 -6.0865887801e-03 1.3692349548e-02 9.9242750057e-03
3.8450000000e+00 -2.6653111041e-03 5.5999115560e-03 -1.2705014987e-02 -1.1542080798e-02
3.8525000000e+00 3.0615671735e-03 -5.8835663714e-03 1.3149147752e-02 9.5525449218e-03
