# Time  u_x_TE  u_y_TE
4.0405000000e+01 5.3052298976e-09 3.7423335062e-06
4.0410000000e+01 5.8582517540e-09 3.7047067045e-06
4.0415000000e+01 6.2803433105e-09 3.6663415138e-06
4.0420000000e+01 6.4645596915e-09 3.6264983832e-06
4.0425000000e+01 6.3567020808e-09 3.5848583217e-06
4.0430000000e+01 5.9678031365e-09 3.5416180017e-06
4.0435000000e+01 5.3713208246e-09 3.4974695638e-06
4.0440000000e+01 4.6860555954e-09 3.4534705197e-06
4.0445000000e+01 4.0495676632e-09 3.4108341054e-06
4.0450000000e+01 3.5885023336e-09 3.3706867498e-06
4.0455000000e+01 3.3918262134e-09 3.3338446646e-06
4.0460000000e+01 3.4917755707e-09 3.3006568029e-06
4.0465000000e+01 3.8562146713e-09 3.2709481958e-06
4.0470000000e+01 4.3947331648e-09 3.2440773576e-06
4.0475000000e+01 4.9782528288e-09 3.2190966412e-06
4.0480000000e+01 5.4681879579e-09 3.1949803023e-06
4.0485000000e+01 5.7479285999e-09 3.1708686087e-06
4.0490000000e+01 5.7485988872e-09 3.1462729212e-06
4.0495000000e+01 5.4632444937e-09 3.1211969125e-06
4.0500000000e+01 4.9473389782e-09 3.0961489309e-06
4.0505000000e+01 4.3066225638e-09 3.0720440646e-06
4.0510000000e+01 3.6749434776e-09 3.0500169708e-06
4.0515000000e+01 3.1858109887e-09 3.0311849257e-06
4.0520000000e+01 2.9428610259e-09 3.0164120780e-06
4.0525000000e+01 2.9959624966e-09 3.0061273277e-06
4.0530000000e+01 3.3295006125e-09 3.0002373947e-06
4.0535000000e+01 3.8663221631e-09 2.9981548844e-06
4.0540000000e+01 4.4859668103e-09 2.9989341974e-06
4.0545000000e+01 5.0517858868e-09 3.0014837597e-06
4.0550000000e+01 5.4402564733e-09 3.0048073608e-06
4.0555000000e+01 5.5668142340e-09 3.0082226862e-06
4.0560000000e+01 5.4039570958e-09 3.0115106280e-06
4.0565000000e+01 4.9881471804e-09 3.0149629785e-06
4.0570000000e+01 4.4130045490e-09 3.0193168751e-06
4.0575000000e+01 3.8089093258e-09 3.0255890105e-06
4.0580000000e+01 3.3132760755e-09 3.0348459646e-06
4.0585000000e+01 3.0392308420e-09 3.0479624715e-06
4.0590000000e+01 3.0508483090e-09 3.0654220417e-06
4.0595000000e+01 3.3503072273e-09 3.0872035748e-06
4.0600000000e+01 3.8784314725e-09 3.1127773838e-06
4.0605000000e+01 4.5273790453e-09 3.1412102674e-06
4.0610000000e+01 5.1630509107e-09 3.1713568704e-06
4.0615000000e+01 5.6537183004e-09 3.2020968197e-06
4.0620000000e+01 5.8994707254e-09 3.2325666338e-06
4.0625000000e+01 5.8553867779e-09 3.2623349828e-06
4.0630000000e+01 5.5419148094e-09 3.2914813558e-06
4.0635000000e+01 5.0395619587e-09 3.3205601043e-06
4.0640000000e+01 4.4699248865e-09 3.3504586383e-06
4.0645000000e+01 3.9686039325e-09 3.3821825810e-06
4.0650000000e+01 3.6563103689e-09 3.4166158056e-06
4.0655000000e+01 3.6134817691e-09 3.4543071281e-06
4.0660000000e+01 3.8627257245e-09 3.4953289657e-06
4.0665000000e+01 4.3628473361e-09 3.5392385451e-06
4.0670000000e+01 5.0169016672e-09 3.5851513274e-06
4.0675000000e+01 5.6935796048e-09 3.6319120283e-06
4.0680000000e+01 6.2570774871e-09 3.6783259122e-06
4.0685000000e+01 6.5977066367e-09 3.7233983023e-06
4.0690000000e+01 6.6556263439e-09 3.7665283671e-06
4.0695000000e+01 6.4328475328e-09 3.8076147786e-06
4.0700000000e+01 5.9920536380e-09 3.8470516267e-06
4.0705000000e+01 5.4432066803e-09 3.8856169189e-06
4.0710000000e+01 4.9203750728e-09 3.9242779719e-06
4.0715000000e+01 4.5527511184e-09 3.9639549639e-06
4.0720000000e+01 4.4357105154e-09 4.0052935071e-06
4.0725000000e+01 4.6088879989e-09 4.0484967786e-06
4.0730000000e+01 5.0471280417e-09 4.0932557267e-06
4.0735000000e+01 5.6666351177e-09 4.1387936053e-06
4.0740000000e+01 6.3442696146e-09 4.1840142472e-06
4.0745000000e+01 6.9447828078e-09 4.2277198667e-06
4.0750000000e+01 7.3498016332e-09 4.2688499184e-06
4.0755000000e+01 7.4829372056e-09 4.3066896736e-06
4.0760000000e+01 7.3263868411e-09 4.3410044461e-06
4.0765000000e+01 6.9254857365e-09 4.3720705348e-06
4.0770000000e+01 6.3794518015e-09 4.4005949554e-06
4.0775000000e+01 5.8195589534e-09 4.4275401484e-06
4.0780000000e+01 5.3795342940e-09 4.4538921058e-06
4.0785000000e+01 5.1654685060e-09 4.4804243220e-06
4.0790000000e+01 5.2325900246e-09 4.5075108584e-06
4.0795000000e+01 5.5739211480e-09 4.5350294308e-06
4.0800000000e+01 6.1224833147e-09 4.5623742327e-06
4.0805000000e+01 6.7658604852e-09 4.5885744047e-06
4.0810000000e+01 7.3700722029e-09 4.6124925370e-06
4.0815000000e+01 7.8083676996e-09 4.6330612463e-06
4.0820000000e+01 7.9892732510e-09 4.6495069408e-06
4.0825000000e+01 7.8774899792e-09 4.6615110149e-06
4.0830000000e+01 7.5021510367e-09 4.6692715138e-06
4.0835000000e+01 6.9500243917e-09 4.6734510162e-06
4.0840000000e+01 6.3455206581e-09 4.6750231784e-06
4.0845000000e+01 5.8228700309e-09 4.6750533141e-06
4.0850000000e+01 5.4971230396e-09 4.6744617675e-06
4.0855000000e+01 5.4398486202e-09 4.6738209256e-06
4.0860000000e+01 5.6638390938e-09 4.6732288809e-06
4.0865000000e+01 6.1197263405e-09 4.6722871529e-06
4.0870000000e+01 6.7058882158e-09 4.6701885611e-06
4.0875000000e+01 7.2905275989e-09 4.6658973117e-06
4.0880000000e+01 7.7413830138e-09 4.6583817202e-06
4.0885000000e+01 7.9557350846e-09 4.6468470624e-06
4.0890000000e+01 7.8830517343e-09 4.6309161645e-06
4.0895000000e+01 7.5351630011e-09 4.6107183335e-06
4.0900000000e+01 6.9827136745e-09 4.5868685976e-06
4.0905000000e+01 6.3397147625e-09 4.5603429422e-06
4.0910000000e+01 5.7395297315e-09 4.5322765129e-06
4.0915000000e+01 5.3064505594e-09 4.5037276063e-06
4.0920000000e+01 5.1281573221e-09 4.4754583453e-06
4.0925000000e+01 5.2354018544e-09 4.4477807947e-06
4.0930000000e+01 5.5946032043e-09 4.4205036997e-06
4.0935000000e+01 6.1157775212e-09 4.3929921280e-06
4.0940000000e+01 6.6735153501e-09 4.3643259734e-06
4.0945000000e+01 7.1350977464e-09 4.3335209755e-06
4.0950000000e+01 7.3889620834e-09 4.2997631616e-06
4.0955000000e+01 7.3680409321e-09 4.2626061877e-06
4.0960000000e+01 7.0641564439e-09 4.2220896209e-06
4.0965000000e+01 6.5306908066e-09 4.1787524685e-06
4.0970000000e+01 5.8719763989e-09 4.1335378691e-06
4.0975000000e+01 5.2205000914e-09 4.0876085662e-06
4.0980000000e+01 4.7068171643e-09 4.0421135890e-06
4.0985000000e+01 4.4299256232e-09 3.9979585538e-06
4.0990000000e+01 4.4357237344e-09 3.9556311442e-06
4.0995000000e+01 4.7081209157e-09 3.9151198473e-06
4.1000000000e+01 5.1734949571e-09 3.8759423416e-06
4.1005000000e+01 5.7165652891e-09 3.8372760978e-06
4.1010000000e+01 6.2046013076e-09 3.7981627297e-06
4.1015000000e+01 6.5159403336e-09 3.7577425127e-06
4.1020000000e+01 6.5672816736e-09 3.7154684423e-06
4.1025000000e+01 6.3331302016e-09 3.6712522605e-06
4.1030000000e+01 5.8518511852e-09 3.6255089479e-06
4.1035000000e+01 5.2165247578e-09 3.5790891393e-06
4.1040000000e+01 4.5534356900e-09 3.5331150296e-06
4.1045000000e+01 3.9941236189e-09 3.4887572187e-06
4.1050000000e+01 3.6473816288e-09 3.4470020361e-06
4.1055000000e+01 3.5764035574e-09 3.4084594538e-06
4.1060000000e+01 3.7850177572e-09 3.3732522385e-06
4.1065000000e+01 4.2160024059e-09 3.3410101866e-06
4.1070000000e+01 4.7628654199e-09 3.3109716686e-06
4.1075000000e+01 5.2934142733e-09 3.2821714427e-06
4.1080000000e+01 5.6797586899e-09 3.2536735680e-06
4.1085000000e+01 5.8271127088e-09 3.2247969739e-06
4.1090000000e+01 5.6943239737e-09 3.1952828429e-06
4.1095000000e+01 5.3019668845e-09 3.1653671269e-06
4.1100000000e+01 4.7272537787e-09 3.1357436531e-06
4.1105000000e+01 4.0874753616e-09 3.1074271063e-06
4.1110000000e+01 3.5151499183e-09 3.0815456626e-06
4.1115000000e+01 3.1293682240e-09 3.0591073435e-06
4.1120000000e+01 3.0091930369e-09 3.0407903557e-06
4.1125000000e+01 3.1754966729e-09 3.0268039503e-06
4.1130000000e+01 3.5861270227e-09 3.0168517789e-06
4.1135000000e+01 4.1457572853e-09 3.0102065085e-06
4.1140000000e+01 4.7276466527e-09 3.0058784370e-06
4.1145000000e+01 5.2016859234e-09 3.0028395014e-06
4.1150000000e+01 5.4623756996e-09 3.0002528850e-06
4.1155000000e+01 5.4512329430e-09 2.9976588039e-06
4.1160000000e+01 5.1694933298e-09 2.9950771922e-06
4.1165000000e+01 4.6784318890e-09 2.9930051203e-06
4.1170000000e+01 4.0865701600e-09 2.9923083935e-06
4.1175000000e+01 3.5258556216e-09 2.9940297998e-06
4.1180000000e+01 3.1220170340e-09 2.9991560742e-06
4.1185000000e+01 2.9663085617e-09 3.0083960922e-06
4.1190000000e+01 3.0955381829e-09 3.0220202448e-06
4.1195000000e+01 3.4847155257e-09 3.0397960444e-06
4.1200000000e+01 4.0531823772e-09 3.0610326318e-06
4.1205000000e+01 4.6822082241e-09 3.0847232767e-06
4.1210000000e+01 5.2403064519e-09 3.1097549901e-06
4.1215000000e+01 5.6115077308e-09 3.1351407053e-06
4.1220000000e+01 5.7210124460e-09 3.1602239725e-06
4.1225000000e+01 5.5523689947e-09 3.1848106217e-06
4.1230000000e+01 5.1515531165e-09 3.2091970933e-06
4.1235000000e+01 4.6164785301e-09 3.2340886442e-06
4.1240000000e+01 4.0745919462e-09 3.2604263584e-06
4.1245000000e+01 3.6544028998e-09 3.2891624796e-06
4.1250000000e+01 3.4577100988e-09 3.3210338974e-06
4.1255000000e+01 3.5381388768e-09 3.3563825245e-06
4.1260000000e+01 3.8897196000e-09 3.3950606493e-06
4.1265000000e+01 4.4476034244e-09 3.4364418368e-06
4.1270000000e+01 5.1013883330e-09 3.4795361403e-06
4.1275000000e+01 5.7191287028e-09 3.5231855841e-06
4.1280000000e+01 6.1770152084e-09 3.5662969920e-06
4.1285000000e+01 6.3874106056e-09 3.6080598383e-06
4.1290000000e+01 6.3180873599e-09 3.6481002542e-06
4.1295000000e+01 5.9983650716e-09 3.6865377306e-06
4.1300000000e+01 5.5117562302e-09 3.7239335079e-06
4.1305000000e+01 4.9776891217e-09 3.7611430667e-06
4.1310000000e+01 4.5262092318e-09 3.7991047844e-06
4.1315000000e+01 4.2701402551e-09 3.8386099108e-06
